,per1,tc1,secosw1,sesinw1,k1,dvdt,curv,gamma_k,jit_k,gamma_j,jit_j,lnprobability
0.159,14.6520643033,2073.71440836,-0.129875140072,-0.0318500494145,67.0012059102,0.00344224368641,-1.43978624799e-05,11.415205738,12.7238309934,3.36136806267,14.1421177998,-2687.97715798
0.5,14.6524195383,2074.0410335,-0.0623347848023,0.0479343908275,67.8024141815,0.00411801336107,-1.39072471834e-05,16.046636486,13.9050350481,4.13828057048,14.5135677317,-2685.56382609
0.841,14.6527830726,2074.35578171,0.0201691524723,0.113433862096,68.6235597035,0.00476612403054,-1.33978523327e-05,20.8480253465,14.6790776355,4.88975248001,14.8144710336,-2683.83750114
