,per1,tc1,secosw1,sesinw1,k1,per2,tc2,secosw2,sesinw2,k2,per3,tc3,secosw3,sesinw3,k3,dvdt,curv,gamma_k,jit_k,gamma_j,jit_j,lnprobability
0.159,14.6515212685,2074.33951603,0.00179642615796,0.0814123492536,70.2459482068,3649.31657997,3413.19553465,0.319173257684,-0.208003221325,21.0789824612,44.3799495944,2080.85542354,0.446964833197,0.181630140743,10.0517649244,0.00362371373412,-8.09762065697e-06,-13.9552582795,5.60095361169,-9.5533498246,8.55666152588,-2366.61859885
0.5,14.6517702647,2074.53077032,0.0563310984229,0.122412398743,70.7965016497,3745.92264832,4367.30737025,0.365586927206,-0.139365297822,22.7510140984,44.3875885467,2083.73335346,0.519399905373,0.261910149035,10.6739501569,0.00446643918398,-7.03728179927e-06,-7.52770637372,6.62722251375,-5.78408113065,8.82895441289,-2362.74560207
0.841,14.6519845725,2074.75292479,0.101205433753,0.151496349288,71.3391432498,4083.13214992,4633.81632132,0.40472957572,-0.0636943413324,25.6930436493,44.3973945704,2085.65522809,0.580806226785,0.339362265924,11.303054217,0.0053578577584,-5.40339815569e-06,-1.44777665287,7.97207056525,-4.04359031553,9.11313955267,-2359.56662161
