,curv,secosw1,gamma_j,jit_j,per1,dvdt,tc1,k1,sesinw1,lnprobability
0.159,-4.17427805042e-07,-0.0766064762876,-6.99196187206,1.9342011859,4.23077614604,-0.00117157676842,2073.28531079,55.3867633586,-0.0351925248283,-139.92485074
0.5,-1.26940825046e-07,-0.0116309654319,-6.49793610962,2.19492391721,4.23080026163,-0.000860927435488,2073.36575899,55.8425518024,0.0316154889047,-137.456919946
0.841,1.5513496305e-07,0.0545780013002,-6.00308617683,2.50107048798,4.23082556901,-0.000549262018376,2073.44342944,56.3017044931,0.0916108042655,-135.753768852
