 obnm,UT date,jd,mnvel,errvel,mdchi,cts,tel
rj116.886,3/16/2011,15636.75224,41.75,1,1.255,49961,j
rj118.360,4/20/2011,15671.71933,-7.44,0.94,1.22,51705,j
rj118.361,4/20/2011,15671.72002,-5.97,0.84,1.233,50193,j
rj118.362,4/20/2011,15671.72069,-4.11,0.98,1.255,49634,j
rj118.761,4/21/2011,15672.72026,-48.3,0.91,1.267,52302,j
rj118.762,4/21/2011,15672.72094,-46.95,0.9,1.271,52717,j
rj118.763,4/21/2011,15672.72161,-47.55,0.92,1.281,49845,j
rj118.1264,4/22/2011,15673.72309,-63.14,0.97,1.163,53638,j
rj118.1265,4/22/2011,15673.72381,-66.43,0.92,1.167,52452,j
rj118.1266,4/22/2011,15673.72452,-62.5,0.95,1.169,51574,j
rj119.387,5/16/2011,15697.72702,66.1,0.95,1.152,49011,j
rj119.388,5/16/2011,15697.72782,65.91,1.02,1.173,51859,j
rj119.389,5/16/2011,15697.72862,68.03,1.02,1.152,50389,j
rj119.586,5/17/2011,15698.7257,55.07,1.03,1.144,48082,j
rj119.587,5/17/2011,15698.72678,57.06,0.99,1.148,48822,j
rj119.588,5/17/2011,15698.72768,56.05,0.9,1.157,48189,j
rj119.786,5/18/2011,15699.72577,39.13,1.05,1.184,49282,j
rj119.787,5/18/2011,15699.72649,40.37,0.96,1.195,49762,j
rj119.788,5/18/2011,15699.72719,41.37,0.9,1.192,49981,j
rj119.1061,5/19/2011,15700.72531,1.37,0.94,1.253,52539,j
rj119.1062,5/19/2011,15700.726,4.36,0.94,1.246,49438,j
rj119.1063,5/19/2011,15700.72669,-1.13,0.97,1.252,51671,j
rj120.273,5/22/2011,15703.7278,-69.55,0.95,1.157,51886,j
rj120.274,5/22/2011,15703.7285,-70.86,0.86,1.179,49367,j
rj120.275,5/22/2011,15703.7292,-68.85,0.93,1.174,48651,j
rj121.86,6/10/2011,15722.73817,-18.44,1.03,1.13,48262,j
rj121.87,6/10/2011,15722.73909,-14.76,0.92,1.155,48964,j
rj121.88,6/10/2011,15722.73994,-15.72,1.01,1.145,48918,j
rj121.262,6/11/2011,15723.73089,13.77,0.97,1.155,47642,j
rj121.263,6/11/2011,15723.73168,13.93,1.02,1.142,48887,j
rj121.264,6/11/2011,15723.73248,14.11,1.01,1.134,47651,j
rj122.640,6/16/2011,15728.74197,18.73,1.1,1.148,48423,j
rj122.641,6/16/2011,15728.74286,19.08,1.19,1.16,48433,j
rj122.642,6/16/2011,15728.74373,14.93,1.14,1.146,48337,j
rj133.163,10/7/2011,15842.11659,42.12,0.96,1.166,50292,j
rj133.164,10/7/2011,15842.11734,44.61,0.98,1.149,52545,j
rj133.165,10/7/2011,15842.11807,45.29,0.95,1.156,49351,j
rj133.456,10/8/2011,15843.14797,65.52,0.86,1.169,53099,j
rj133.457,10/8/2011,15843.14868,63.89,0.99,1.176,50050,j
rj133.458,10/8/2011,15843.14941,64.81,0.95,1.151,52503,j
rj133.640,10/9/2011,15844.11954,67.26,1,1.137,48138,j
rj133.641,10/9/2011,15844.12031,62.77,0.99,1.127,48471,j
rj133.642,10/9/2011,15844.12111,63.53,1.02,1.13,47881,j
rj134.500,10/17/2011,15852.13678,-77.15,1.03,1.144,51868,j
rj134.501,10/17/2011,15852.13749,-75.99,0.92,1.14,50894,j
rj134.502,10/17/2011,15852.13819,-79.13,0.99,1.129,49148,j
rj136.123,11/5/2011,15871.07855,33.79,1.16,1.138,47858,j
rj136.124,11/5/2011,15871.08199,32.29,1.33,1.096,26701,j
rj136.125,11/5/2011,15871.09199,35.44,1.17,1.133,48533,j
rj137.131,11/12/2011,15878.10355,-46.43,1,1.2,53467,j
rj137.132,11/12/2011,15878.10424,-48.46,1.07,1.186,48393,j
rj137.133,11/12/2011,15878.10493,-44.94,0.95,1.195,50586,j
rj137.287,11/13/2011,15879.06078,-70.38,1.01,1.15,51385,j
rj137.288,11/13/2011,15879.06151,-68.63,0.99,1.129,52029,j
rj137.289,11/13/2011,15879.06223,-73.99,1.05,1.141,49527,j
rj137.450,11/14/2011,15880.07309,-69.62,1.02,1.143,50023,j
rj137.451,11/14/2011,15880.07383,-67.95,0.95,1.155,48866,j
rj137.452,11/14/2011,15880.07458,-67.92,1,1.153,49787,j
rj138.177,12/6/2011,15901.99863,48.93,0.97,1.218,52725,j
rj138.178,12/6/2011,15901.99929,49.18,1.02,1.21,49733,j
rj138.179,12/6/2011,15901.99997,48.71,0.9,1.189,50046,j
rj138.399,12/7/2011,15902.99045,50.7,1,1.177,48868,j
rj138.400,12/7/2011,15902.9912,51.59,0.98,1.185,51531,j
rj138.401,12/7/2011,15902.99195,52.51,1.01,1.191,50121,j
rj138.668,12/8/2011,15904.11228,25.16,0.87,1.183,51033,j
rj138.669,12/8/2011,15904.11298,21.66,0.91,1.181,53650,j
rj138.670,12/8/2011,15904.11365,23.17,0.96,1.18,49466,j
rj138.858,12/9/2011,15904.92291,3.57,1.07,1.173,54462,j
rj138.859,12/9/2011,15904.92362,-0.06,1.08,1.172,52283,j
rj138.860,12/9/2011,15904.92431,1.5,1.04,1.188,53070,j
rj141.159,1/5/2012,15932.05514,53.96,1,1.169,51083,j
rj141.160,1/5/2012,15932.05581,55.1,0.99,1.182,51759,j
rj141.161,1/5/2012,15932.0565,56.93,0.95,1.183,54539,j
rj142.145,1/18/2012,15944.97715,44.17,1.18,1.134,49409,j
rj142.146,1/18/2012,15944.97807,44.35,1.23,1.131,49871,j
rj142.147,1/18/2012,15944.97912,43.21,1.18,1.139,50635,j
rj143.129,2/3/2012,15960.91182,57.21,1.02,1.117,54646,j
rj143.130,2/3/2012,15960.9125,57.39,1,1.123,51587,j
rj143.131,2/3/2012,15960.9132,58.34,0.96,1.135,50047,j
rj144.206,2/10/2012,15967.86816,-71.29,0.99,1.095,50716,j
rj144.207,2/10/2012,15967.86904,-70.51,1.08,1.103,49832,j
rj144.208,2/10/2012,15967.86988,-66.28,1.03,1.106,50258,j
rj145.100,2/15/2012,15972.79664,31.71,1.02,1.217,54063,j
rj145.101,2/15/2012,15972.79734,32.38,0.93,1.193,52006,j
rj145.102,2/15/2012,15972.79801,29.19,1.03,1.225,53676,j
rj146.840,3/10/2012,15996.98703,-97.82,1.57,1.123,16983,j
rj146.841,3/10/2012,15996.99343,-96.12,1.25,1.129,31374,j
rj146.842,3/10/2012,15996.99734,-100.42,1.12,1.13,47283,j
rj148.372,4/2/2012,16019.88494,49.48,0.95,1.15,49719,j
rj148.373,4/2/2012,16019.88562,50.72,0.92,1.164,49057,j
rj148.374,4/2/2012,16019.8863,52.94,0.95,1.173,49189,j
rj149.165,4/10/2012,16027.96079,-88.97,0.87,1.124,49272,j
rj149.166,4/10/2012,16027.96155,-90.17,0.99,1.127,51189,j
rj149.167,4/10/2012,16027.96231,-88.38,0.98,1.134,49058,j
rj150.86,5/26/2012,16073.74158,-47.59,0.88,1.151,50622,j
rj150.87,5/26/2012,16073.74234,-48.91,0.97,1.124,47633,j
rj150.88,5/26/2012,16073.74314,-47.04,0.93,1.124,47752,j
rj150.683,5/29/2012,16076.73758,29.27,1.05,1.173,47364,j
rj150.684,5/29/2012,16076.73846,29.51,1,1.15,49114,j
rj150.685,5/29/2012,16076.7393,32.67,1.01,1.153,47287,j
rj151.89,6/1/2012,16079.77309,20.95,0.98,1.118,50362,j
rj151.90,6/1/2012,16079.77425,19.45,1.02,1.111,50251,j
rj151.91,6/1/2012,16079.7752,19.35,1.08,1.109,50414,j
rj159.181,9/22/2012,16193.1479,42.45,0.92,1.185,48070,j
rj159.182,9/22/2012,16193.1486,39.73,0.95,1.178,50599,j
rj159.183,9/22/2012,16193.14929,41.73,0.97,1.175,51962,j
rj159.565,9/24/2012,16195.15172,58.31,0.9,1.189,52450,j
rj159.566,9/24/2012,16195.15239,56.38,1.03,1.207,50134,j
rj159.567,9/24/2012,16195.15307,59.57,0.97,1.189,49397,j
rj160.137,10/2/2012,16203.14439,-97.95,0.97,1.199,50433,j
rj160.138,10/2/2012,16203.14513,-99.11,1.01,1.215,51069,j
rj160.139,10/2/2012,16203.1458,-96.32,0.96,1.212,51471,j
rj161.159,10/7/2012,16208.11787,23.34,1.06,1.192,55009,j
rj161.160,10/7/2012,16208.11859,19.67,1.04,1.197,53362,j
rj161.161,10/7/2012,16208.11929,21.1,1.03,1.19,51733,j
rj161.357,10/8/2012,16209.12949,34.8,0.96,1.156,51981,j
rj161.358,10/8/2012,16209.13022,33.65,1.07,1.153,51502,j
rj161.359,10/8/2012,16209.13095,37.37,0.99,1.15,52559,j
rj165.92,1/26/2013,16318.88405,-91.33,1.11,1.137,53004,j
rj165.93,1/26/2013,16318.88484,-91.06,1.06,1.144,54131,j
rj165.94,1/26/2013,16318.88559,-91.5,1.02,1.163,55638,j
rj166.521,2/4/2013,16327.83699,52.15,1.05,1.104,50910,j
rj166.522,2/4/2013,16327.83776,51.18,1.06,1.107,50706,j
rj166.523,2/4/2013,16327.83852,49.75,1.04,1.096,51713,j
rj167.86,2/20/2013,16343.75831,3.78,0.99,1.116,50509,j
rj167.87,2/20/2013,16343.75903,1.14,0.98,1.115,53191,j
rj167.88,2/20/2013,16343.75976,1.38,0.93,1.111,52154,j
rj169.75,6/3/2013,16446.73614,6.69,0.94,1.119,48787,j
rj169.76,6/3/2013,16446.73742,5.37,0.93,1.123,48983,j
rj169.77,6/3/2013,16446.73875,5.62,0.9,1.126,47692,j
rj182.490,10/20/2013,16586.1553,-64.43,1.09,1.164,49246,j
rj182.491,10/20/2013,16586.15603,-65.27,1.06,1.155,49934,j
rj182.492,10/20/2013,16586.15672,-68.15,1.01,1.172,49731,j
rj183.236,10/22/2013,16588.15561,-4.57,0.96,1.201,49784,j
rj183.237,10/22/2013,16588.15636,-4.69,1.02,1.169,51970,j
rj183.238,10/22/2013,16588.15707,-3.41,1.05,1.173,49880,j
rj183.470,10/23/2013,16589.10601,17.84,1.02,1.195,51634,j
rj183.471,10/23/2013,16589.10672,15.52,1.06,1.169,50758,j
rj183.472,10/23/2013,16589.10744,16.29,1.09,1.181,49937,j
rj184.474,11/18/2013,16615.07575,-81.32,1,1.116,38407,j
rj184.475,11/18/2013,16615.08245,-77.71,1.01,1.148,48553,j
rj184.476,11/18/2013,16615.08512,-79.81,0.95,1.131,49229,j
rj185.374,12/11/2013,16637.95184,-3.08,1.03,1.116,49979,j
rj185.375,12/11/2013,16637.95257,-0.74,1.07,1.111,50047,j
rj185.376,12/11/2013,16637.95332,-0.11,1.02,1.116,52278,j
rj186.197,1/17/2014,16674.87172,-24.8,1.12,1.116,51866,j
rj186.198,1/17/2014,16674.87248,-24.52,1.16,1.107,50616,j
rj186.199,1/17/2014,16674.87327,-26.39,1.25,1.116,50305,j
rj187.134,2/20/2014,16708.85923,39.12,0.99,1.102,49821,j
rj187.135,2/20/2014,16708.86003,35.59,1.05,1.099,49733,j
rj187.136,2/20/2014,16708.86087,37.36,1.04,1.098,50234,j
rj187.393,2/21/2014,16709.8475,10.76,0.98,1.114,49583,j
rj187.394,2/21/2014,16709.8483,7.5,0.88,1.13,51758,j
rj187.395,2/21/2014,16709.84904,9.77,0.85,1.159,52582,j
rj188.63,6/18/2014,16826.73031,17.61,1,1.117,50119,j
rj188.64,6/18/2014,16826.73103,18.05,1.09,1.112,50348,j
rj188.65,6/18/2014,16826.73174,16.79,0.95,1.122,51605,j
rj188.225,6/19/2014,16827.73183,-17.19,1.04,1.12,49324,j
rj188.226,6/19/2014,16827.73256,-15.4,0.94,1.097,48431,j
rj188.227,6/19/2014,16827.73329,-20.51,1.05,1.095,48425,j
rj188.489,6/20/2014,16828.73132,-35.74,1.06,1.11,50212,j
rj188.490,6/20/2014,16828.73211,-35.4,1.02,1.106,50730,j
rj188.491,6/20/2014,16828.73289,-33.25,1.01,1.107,50312,j
rj188.668,6/21/2014,16829.73889,-74.93,1.07,1.097,49890,j
rj188.669,6/21/2014,16829.73968,-74.64,1.03,1.085,49016,j
rj188.670,6/21/2014,16829.74054,-79.6,1.09,1.157,48464,j
rj200.65,6/6/2015,17179.73769,-30.35,0.94,1.105,49517,j
rj200.66,6/6/2015,17179.73838,-27.55,0.92,1.09,48389,j
rj200.67,6/6/2015,17179.73908,-27,0.96,1.087,49848,j
rj201.369,6/26/2015,17199.74187,-115.59,0.93,1.082,50094,j
rj201.370,6/26/2015,17199.74267,-116.47,1.07,1.076,49274,j
rj201.371,6/26/2015,17199.74345,-116.22,1.12,1.08,48552,j
rj216.150,10/31/2015,17327.15891,-68.25,0.95,1.153,53919,j
rj216.151,10/31/2015,17327.15956,-67.94,0.91,1.166,54754,j
rj216.152,10/31/2015,17327.1602,-69.44,0.97,1.158,50200,j
rj218.640,11/29/2015,17356.17176,-46.34,0.94,1.152,55006,j
rj219.262,12/23/2015,17379.92592,-7.35,1,1.133,57076,j
rj219.263,12/23/2015,17379.92669,-10.85,1,1.121,57634,j
rj219.264,12/23/2015,17379.92744,-9.96,1.08,1.121,56625,j
rj220.121,12/28/2015,17384.96066,-29.62,1.03,1.112,56246,j
rj220.122,12/28/2015,17384.96239,-28.5,1.02,1.112,57592,j
rj220.123,12/28/2015,17384.96452,-27.75,1.07,1.127,57355,j
rj229.67,6/16/2016,17555.73543,10.33,1,1.103,51052,j
rj229.68,6/16/2016,17555.73619,9.89,1.05,1.113,52111,j
rj229.69,6/16/2016,17555.73691,10.88,1.06,1.106,49500,j
rj246.558,11/21/2016,17714.1644,-89.29,1.76,1.045,9195,j
rj246.1139,11/24/2016,17717.15877,-3.79,0.97,1.122,49421,j
rj249.285,1/11/2017,17764.90224,-10.76,0.95,1.131,49940,j
rj249.286,1/11/2017,17764.90327,-9.71,0.96,1.116,49303,j
rj249.287,1/11/2017,17764.90428,-10.47,0.98,1.127,49159,j
