# RV data for HD75732
#************************************************************************
#      obnm      UT date             jd    mnvel   errvel   mdchi      cts
#************************************************************************
 rj15.1982   2006/01/17   13752.973507   -40.92     0.87   1.126   104835
 rj15.1983   2006/01/17   13752.974537   -41.59     0.86   1.129   106903
 rj15.2389   2006/01/18   13753.943067   -77.52     0.88   1.151   102363
 rj15.2390   2006/01/18   13753.944005   -75.32     0.94   1.133   104354
 rj15.2391   2006/01/18   13753.944965   -78.51     0.78   1.155   105928
  rj16.186   2006/02/09   13775.922373    19.21     0.85   1.221   105214
  rj16.187   2006/02/09   13775.923264    19.58     0.86   1.219   108389
  rj16.188   2006/02/09   13775.924155    21.25     0.88   1.252   105789
  rj16.609   2006/02/10   13776.939722    27.70     0.86   1.273   105411
  rj16.610   2006/02/10   13776.940625    25.25     0.90   1.269   104461
  rj16.611   2006/02/10   13776.941516    22.11     0.90   1.308   107679
 rj16.1129   2006/02/11   13778.018542    44.39     0.94   1.270   103667
 rj16.1130   2006/02/11   13778.020197    41.03     0.84   1.191   103884
 rj16.1131   2006/02/11   13778.021447    39.02     0.93   1.157   101180
  rj17.122   2006/03/12   13806.887361    44.62     1.05   1.156   107226
  rj17.123   2006/03/12   13806.889190    43.28     1.06   1.143   105784
  rj17.124   2006/03/12   13806.890671    43.63     1.00   1.147   108122
  rj18.177   2006/04/12   13837.797164    46.36     1.17   1.126    22066
  rj18.178   2006/04/12   13837.803785    46.35     1.22   1.111    16348
  rj18.179   2006/04/12   13837.810590    45.81     0.99   1.159    39685
  rj18.180   2006/04/12   13837.816562    46.61     0.80   1.214    80774
  rj18.634   2006/04/16   13841.800822   -70.01     0.83   1.206    84698
  rj18.635   2006/04/16   13841.801586   -71.19     0.83   1.202    81247
  rj18.636   2006/04/16   13841.802384   -70.21     0.78   1.205    86424
  rj26.203   2006/12/14   14083.979780    35.75     0.98   1.102    71815
  rj26.204   2006/12/14   14083.980694    36.68     0.95   1.120    74646
  rj26.205   2006/12/14   14083.981562    36.31     0.95   1.111    74369
  rj26.206   2006/12/14   14083.982465    39.60     0.89   1.110    74354
  rj26.207   2006/12/14   14083.983380    38.30     0.93   1.108    74949
  rj26.579   2006/12/15   14084.905104    53.65     0.93   1.077    74157
  rj26.580   2006/12/15   14084.906806    51.67     1.02   1.076    75019
  rj26.581   2006/12/15   14084.908299    51.28     0.96   1.074    74440
  rj26.582   2006/12/15   14084.909780    51.11     0.99   1.097    75166
  rj26.583   2006/12/15   14084.911042    53.18     1.00   1.096    74344
  rj26.642   2006/12/15   14085.120266    62.49     0.98   1.091    75466
  rj26.643   2006/12/15   14085.121366    60.97     0.97   1.100    75964
  rj26.644   2006/12/15   14085.122454    63.25     0.88   1.103    76458
  rj26.645   2006/12/15   14085.123426    61.74     0.94   1.103    75495
  rj26.646   2006/12/15   14085.124398    61.26     1.02   1.090    75161
 rj26.1025   2006/12/16   14086.100197    51.38     0.99   1.088    74054
 rj26.1026   2006/12/16   14086.101134    52.65     0.96   1.109    74307
 rj26.1027   2006/12/16   14086.102060    49.56     0.94   1.114    75805
 rj26.1028   2006/12/16   14086.102963    52.70     0.94   1.112    74744
 rj26.1029   2006/12/16   14086.103866    49.97     0.87   1.101    75371
  rj27.214   2007/01/08   14108.906863   -51.49     0.88   1.181    72733
  rj27.215   2007/01/08   14108.907685   -52.18     0.87   1.144    70638
  rj27.216   2007/01/08   14108.908565   -53.10     0.91   1.155    72956
  rj27.217   2007/01/08   14108.909421   -50.71     0.91   1.153    72712
  rj27.218   2007/01/08   14108.910231   -53.82     0.87   1.151    70944
  rj28.162   2007/01/29   14129.898843    58.86     0.97   1.093    69108
  rj28.163   2007/01/29   14129.899792    58.82     0.87   1.092    70329
  rj28.164   2007/01/29   14129.900706    59.38     0.92   1.099    68780
  rj28.165   2007/01/29   14129.901597    57.50     0.89   1.098    71365
  rj28.166   2007/01/29   14129.902488    58.43     0.91   1.115    69076
  rj28.580   2007/01/30   14130.943981    49.89     1.26   1.043    27089
  rj28.581   2007/01/30   14130.944826    49.47     1.17   1.057    27251
  rj28.582   2007/01/30   14130.945637    47.74     1.00   1.099    68270
  rj28.583   2007/01/30   14130.946574    50.46     0.87   1.115    71243
  rj28.584   2007/01/30   14130.947500    47.13     0.97   1.107    69121
  rj28.585   2007/01/30   14130.949444    46.35     0.98   1.112    68468
  rj28.586   2007/01/30   14130.950324    52.03     0.92   1.111    68607
  rj28.947   2007/01/31   14131.878611    16.65     1.03   1.095    68414
  rj28.948   2007/01/31   14131.879722    17.06     1.15   1.087    69819
