# RV data for HD75732
#************************************************************************
#      obnm      UT date             jd    mnvel   errvel   mdchi      cts
#************************************************************************
   rj91.74   2010/05/26   15342.742559    39.82     0.92   1.120    47094
  rj91.115   2010/05/26   15342.850085    40.25     0.98   1.086    52113
  rj91.116   2010/05/26   15342.851115    41.18     1.02   1.084    53672
  rj91.117   2010/05/26   15342.852214    37.52     0.96   1.099    54981
  rj91.263   2010/05/27   15343.732810    68.99     0.92   1.156    49415
  rj91.264   2010/05/27   15343.733527    66.48     0.86   1.165    51572
  rj91.265   2010/05/27   15343.734360   -99.27     2.94   3.151    47634
  rj91.458   2010/05/28   15344.733477    87.40     1.02   1.110    50472
  rj91.459   2010/05/28   15344.734298    83.92     1.02   1.127    50269
  rj91.460   2010/05/28   15344.735085    87.04     0.97   1.131    50853
   rj92.71   2010/06/03   15350.742033   -29.00     1.16   1.084    25287
   rj92.72   2010/06/03   15350.742658   -28.80     1.12   1.069    24984
   rj92.73   2010/06/03   15350.743306   -32.64     1.19   1.070    24357
   rj92.75   2010/06/03   15350.746570   -28.11     1.00   1.120    49589
   rj92.76   2010/06/03   15350.747345   -31.63     0.95   1.130    49710
  rj92.275   2010/06/04   15351.741884   -54.44     0.86   1.191    50999
  rj92.276   2010/06/04   15351.742579   -51.76     0.87   1.188    50257
  rj92.277   2010/06/04   15351.743273   -52.22     0.82   1.187    50184
 rj100.188   2010/09/25   15465.144950    29.94     0.97   1.153    51755
 rj100.189   2010/09/25   15465.145818    27.67     0.94   1.159    51855
 rj100.190   2010/09/25   15465.146525    27.70     1.09   1.160    50696
 rj100.461   2010/09/26   15466.144510    12.00     1.11   1.144    49155
 rj100.462   2010/09/26   15466.145355    12.43     1.06   1.152    49049
 rj100.463   2010/09/26   15466.146154    10.74     0.95   1.133    48574
 rj100.788   2010/09/27   15467.146340   -23.87     0.90   1.177    49824
 rj100.789   2010/09/27   15467.147069   -25.93     0.95   1.166    50239
 rj100.790   2010/09/27   15467.147810   -22.44     1.01   1.177    48883
rj100.1173   2010/09/28   15468.149235   -51.71     0.89   1.267    50883
rj100.1174   2010/09/28   15468.150161   -51.60     0.94   1.283    50948
rj100.1175   2010/09/28   15468.150960   -51.61     0.96   1.257    51543
rj100.1493   2010/09/29   15469.142871   -48.65     1.05   1.161    47166
rj100.1494   2010/09/29   15469.143809   -53.28     0.98   1.139    51136
rj100.1495   2010/09/29   15469.144561   -53.82     0.99   1.146    50724
 rj104.131   2010/10/20   15490.155462    47.69     1.10   1.191    50170
 rj104.132   2010/10/20   15490.156168    50.09     1.04   1.170    48020
 rj104.133   2010/10/20   15490.157013    49.85     1.02   1.177    51004
 rj104.423   2010/10/21   15491.153649    74.86     0.99   1.175    48641
 rj104.424   2010/10/21   15491.154483    76.50     0.96   1.160    50328
 rj104.425   2010/10/21   15491.155200    76.44     0.95   1.164    48252
 rj106.279   2010/11/21   15522.018696    80.14     1.02   1.169    50123
 rj106.280   2010/11/21   15522.019425    79.46     0.93   1.161    49254
 rj106.281   2010/11/21   15522.020119    78.14     1.01   1.143    49267
 rj109.123   2010/12/12   15542.924419   -77.76     1.05   1.151    48659
 rj109.124   2010/12/12   15542.925599   -69.88     1.02   1.171    50543
 rj109.125   2010/12/12   15542.926305   -74.86     0.96   1.180    49591
 rj110.163   2010/12/14   15545.132042   -48.85     1.00   1.163    53553
 rj110.164   2010/12/14   15545.132806   -47.45     1.05   1.178    50260
 rj110.165   2010/12/14   15545.133581   -46.19     1.06   1.215    50655
 rj110.540   2010/12/15   15545.987263   -40.07     0.97   1.132    51267
 rj110.541   2010/12/15   15545.988016   -43.85     1.00   1.140    48882
 rj110.542   2010/12/15   15545.988768   -41.07     1.08   1.122    50100
 rj111.326   2010/12/26   15557.128797   -79.92     1.08   1.208    51914
 rj111.327   2010/12/26   15557.129504   -79.96     1.01   1.203    51442
 rj111.328   2010/12/26   15557.130198   -76.52     1.02   1.214    52757
 rj111.486   2010/12/27   15557.977558   -85.61     1.07   1.124    49830
 rj111.487   2010/12/27   15557.978368   -82.97     1.10   1.120    48288
 rj111.488   2010/12/27   15557.979306   -84.22     1.16   1.139    48973
 rj111.875   2010/12/29   15559.964732   -52.24     1.06   1.175    47547
 rj111.876   2010/12/29   15559.972707   -53.20     1.39   1.082    19159
 rj111.877   2010/12/29   15559.978680   -51.49     1.09   1.150    47422
 rj113.168   2011/01/23   15584.994368   -52.96     0.93   1.177    50737
 rj113.169   2011/01/23   15584.995086   -52.84     0.94   1.143    51782
 rj113.170   2011/01/23   15584.995815   -52.24     1.00   1.172    51123
  rj114.68   2011/02/13   15605.966269    16.15     1.05   1.149    52029
  rj114.69   2011/02/13   15605.966975    15.14     1.05   1.153    50167
  rj114.70   2011/02/13   15605.967669    17.59     1.05   1.170    51475
 rj114.267   2011/02/14   15606.971727    47.62     1.09   1.128    49319
 rj114.268   2011/02/14   15606.972456    48.74     1.06   1.132    50545
 rj114.269   2011/02/14   15606.973174    51.53     1.01   1.135    51871
 rj114.457   2011/02/15   15607.957126    56.97     1.03   1.163    49145
 rj114.458   2011/02/15   15607.958492    60.40     0.99   1.147    48929
 rj114.459   2011/02/15   15607.960135    60.24     1.01   1.164    48714
 rj115.138   2011/02/19   15611.961656    39.95     1.10   1.183    51471
 rj115.139   2011/02/19   15611.962385    43.45     1.14   1.214    50754
 rj115.140   2011/02/19   15611.963114    42.56     1.19   1.210    50590
 rj116.150   2011/03/13   15633.917528   -36.80     0.96   1.138    51118
 rj116.151   2011/03/13   15633.918234   -38.75     1.01   1.170    50566
 rj116.152   2011/03/13   15633.918917   -38.84     1.00   1.148    52149
 rj116.407   2011/03/14   15634.816297    -5.41     1.00   1.210    50629
 rj116.408   2011/03/14   15634.816969    -6.36     0.95   1.213    49814
 rj116.409   2011/03/14   15634.817663    -3.80     0.89   1.181    52175
 rj116.884   2011/03/16   15636.750872    41.76     0.94   1.223    50635
 rj116.885   2011/03/16   15636.751578    41.86     0.94   1.248    52892
 rj116.886   2011/03/16   15636.752238    41.75     1.00   1.255    49961
 rj118.360   2011/04/20   15671.719334    -7.44     0.94   1.220    51705
 rj118.361   2011/04/20   15671.720017    -5.97     0.84   1.233    50193
 rj118.362   2011/04/20   15671.720688    -4.11     0.98   1.255    49634
 rj118.761   2011/04/21   15672.720256   -48.30     0.91   1.267    52302
 rj118.762   2011/04/21   15672.720939   -46.95     0.90   1.271    52717
 rj118.763   2011/04/21   15672.721610   -47.55     0.92   1.281    49845
rj118.1264   2011/04/22   15673.723088   -63.14     0.97   1.163    53638
rj118.1265   2011/04/22   15673.723805   -66.43     0.92   1.167    52452
rj118.1266   2011/04/22   15673.724523   -62.50     0.95   1.169    51574
 rj119.387   2011/05/16   15697.727023    66.10     0.95   1.152    49011
 rj119.388   2011/05/16   15697.727821    65.91     1.02   1.173    51859
 rj119.389   2011/05/16   15697.728620    68.03     1.02   1.152    50389
 rj119.586   2011/05/17   15698.725704    55.07     1.03   1.144    48082
 rj119.587   2011/05/17   15698.726780    57.06     0.99   1.148    48822
 rj119.588   2011/05/17   15698.727683    56.05     0.90   1.157    48189
 rj119.786   2011/05/18   15699.725774    39.13     1.05   1.184    49282
 rj119.787   2011/05/18   15699.726491    40.37     0.96   1.195    49762
 rj119.788   2011/05/18   15699.727186    41.37     0.90   1.192    49981
rj119.1061   2011/05/19   15700.725312     1.37     0.94   1.253    52539
rj119.1062   2011/05/19   15700.725995     4.36     0.94   1.246    49438
rj119.1063   2011/05/19   15700.726689    -1.13     0.97   1.252    51671
 rj120.273   2011/05/22   15703.727796   -69.55     0.95   1.157    51886
 rj120.274   2011/05/22   15703.728502   -70.86     0.86   1.179    49367
 rj120.275   2011/05/22   15703.729196   -68.85     0.93   1.174    48651
  rj121.86   2011/06/10   15722.738173   -18.44     1.03   1.130    48262
  rj121.87   2011/06/10   15722.739087   -14.76     0.92   1.155    48964
  rj121.88   2011/06/10   15722.739943   -15.72     1.01   1.145    48918
 rj121.262   2011/06/11   15723.730890    13.77     0.97   1.155    47642
 rj121.263   2011/06/11   15723.731677    13.93     1.02   1.142    48887
 rj121.264   2011/06/11   15723.732476    14.11     1.01   1.134    47651
 rj122.640   2011/06/16   15728.741968    18.73     1.10   1.148    48423
 rj122.641   2011/06/16   15728.742859    19.08     1.19   1.160    48433
 rj122.642   2011/06/16   15728.743727    14.93     1.14   1.146    48337
 rj133.163   2011/10/07   15842.116588    42.12     0.96   1.166    50292
 rj133.164   2011/10/07   15842.117341    44.61     0.98   1.149    52545
 rj133.165   2011/10/07   15842.118070    45.29     0.95   1.156    49351
 rj133.456   2011/10/08   15843.147966    65.52     0.86   1.169    53099
 rj133.457   2011/10/08   15843.148684    63.89     0.99   1.176    50050
 rj133.458   2011/10/08   15843.149413    64.81     0.95   1.151    52503
 rj133.640   2011/10/09   15844.119536    67.26     1.00   1.137    48138
 rj133.641   2011/10/09   15844.120312    62.77     0.99   1.127    48471
 rj133.642   2011/10/09   15844.121110    63.53     1.02   1.130    47881
 rj134.500   2011/10/17   15852.136779   -77.15     1.03   1.144    51868
 rj134.501   2011/10/17   15852.137485   -75.99     0.92   1.140    50894
 rj134.502   2011/10/17   15852.138191   -79.13     0.99   1.129    49148
 rj136.123   2011/11/05   15871.078548    33.79     1.16   1.138    47858
 rj136.124   2011/11/05   15871.081986    32.29     1.33   1.096    26701
 rj136.125   2011/11/05   15871.091987    35.44     1.17   1.133    48533
 rj137.131   2011/11/12   15878.103549   -46.43     1.00   1.200    53467
 rj137.132   2011/11/12   15878.104243   -48.46     1.07   1.186    48393
 rj137.133   2011/11/12   15878.104926   -44.94     0.95   1.195    50586
 rj137.287   2011/11/13   15879.060782   -70.38     1.01   1.150    51385
 rj137.288   2011/11/13   15879.061511   -68.63     0.99   1.129    52029
 rj137.289   2011/11/13   15879.062229   -73.99     1.05   1.141    49527
 rj137.450   2011/11/14   15880.073089   -69.62     1.02   1.143    50023
 rj137.451   2011/11/14   15880.073830   -67.95     0.95   1.155    48866
 rj137.452   2011/11/14   15880.074583   -67.92     1.00   1.153    49787
 rj138.177   2011/12/06   15901.998634    48.93     0.97   1.218    52725
 rj138.178   2011/12/06   15901.999294    49.18     1.02   1.210    49733
 rj138.179   2011/12/06   15901.999965    48.71     0.90   1.189    50046
 rj138.399   2011/12/07   15902.990449    50.70     1.00   1.177    48868
 rj138.400   2011/12/07   15902.991201    51.59     0.98   1.185    51531
 rj138.401   2011/12/07   15902.991953    52.51     1.01   1.191    50121
 rj138.668   2011/12/08   15904.112284    25.16     0.87   1.183    51033
 rj138.669   2011/12/08   15904.112978    21.66     0.91   1.181    53650
 rj138.670   2011/12/08   15904.113650    23.17     0.96   1.180    49466
 rj138.858   2011/12/09   15904.922913     3.57     1.07   1.173    54462
 rj138.859   2011/12/09   15904.923619    -0.06     1.08   1.172    52283
 rj138.860   2011/12/09   15904.924314     1.50     1.04   1.188    53070
 rj141.159   2012/01/05   15932.055142    53.96     1.00   1.169    51083
 rj141.160   2012/01/05   15932.055813    55.10     0.99   1.182    51759
 rj141.161   2012/01/05   15932.056496    56.93     0.95   1.183    54539
 rj142.145   2012/01/18   15944.977145    44.17     1.18   1.134    49409
 rj142.146   2012/01/18   15944.978071    44.35     1.23   1.131    49871
 rj142.147   2012/01/18   15944.979124    43.21     1.18   1.139    50635
 rj143.129   2012/02/03   15960.911818    57.21     1.02   1.117    54646
 rj143.130   2012/02/03   15960.912501    57.39     1.00   1.123    51587
 rj143.131   2012/02/03   15960.913195    58.34     0.96   1.135    50047
 rj144.206   2012/02/10   15967.868156   -71.29     0.99   1.095    50716
 rj144.207   2012/02/10   15967.869036   -70.51     1.08   1.103    49832
 rj144.208   2012/02/10   15967.869881   -66.28     1.03   1.106    50258
 rj145.100   2012/02/15   15972.796641    31.71     1.02   1.217    54063
 rj145.101   2012/02/15   15972.797336    32.38     0.93   1.193    52006
 rj145.102   2012/02/15   15972.798007    29.19     1.03   1.225    53676
 rj146.840   2012/03/10   15996.987026   -97.82     1.57   1.123    16983
 rj146.841   2012/03/10   15996.993426   -96.12     1.25   1.129    31374
 rj146.842   2012/03/10   15996.997338  -100.42     1.12   1.130    47283
 rj148.372   2012/04/02   16019.884935    49.48     0.95   1.150    49719
 rj148.373   2012/04/02   16019.885617    50.72     0.92   1.164    49057
 rj148.374   2012/04/02   16019.886300    52.94     0.95   1.173    49189
 rj149.165   2012/04/10   16027.960789   -88.97     0.87   1.124    49272
 rj149.166   2012/04/10   16027.961553   -90.17     0.99   1.127    51189
 rj149.167   2012/04/10   16027.962305   -88.38     0.98   1.134    49058
  rj150.86   2012/05/26   16073.741580   -47.59     0.88   1.151    50622
  rj150.87   2012/05/26   16073.742344   -48.91     0.97   1.124    47633
  rj150.88   2012/05/26   16073.743142   -47.04     0.93   1.124    47752
 rj150.683   2012/05/29   16076.737575    29.27     1.05   1.173    47364
 rj150.684   2012/05/29   16076.738455    29.51     1.00   1.150    49114
 rj150.685   2012/05/29   16076.739300    32.67     1.01   1.153    47287
  rj151.89   2012/06/01   16079.773089    20.95     0.98   1.118    50362
  rj151.90   2012/06/01   16079.774247    19.45     1.02   1.111    50251
  rj151.91   2012/06/01   16079.775196    19.35     1.08   1.109    50414
 rj159.181   2012/09/22   16193.147900    42.45     0.92   1.185    48070
 rj159.182   2012/09/22   16193.148595    39.73     0.95   1.178    50599
 rj159.183   2012/09/22   16193.149289    41.73     0.97   1.175    51962
 rj159.565   2012/09/24   16195.151716    58.31     0.90   1.189    52450
 rj159.566   2012/09/24   16195.152387    56.38     1.03   1.207    50134
 rj159.567   2012/09/24   16195.153070    59.57     0.97   1.189    49397
 rj160.137   2012/10/02   16203.144385   -97.95     0.97   1.199    50433
 rj160.138   2012/10/02   16203.145126   -99.11     1.01   1.215    51069
 rj160.139   2012/10/02   16203.145797   -96.32     0.96   1.212    51471
 rj161.159   2012/10/07   16208.117871    23.34     1.06   1.192    55009
 rj161.160   2012/10/07   16208.118588    19.67     1.04   1.197    53362
 rj161.161   2012/10/07   16208.119294    21.10     1.03   1.190    51733
 rj161.357   2012/10/08   16209.129490    34.80     0.96   1.156    51981
 rj161.358   2012/10/08   16209.130220    33.65     1.07   1.153    51502
 rj161.359   2012/10/08   16209.130949    37.37     0.99   1.150    52559
  rj165.92   2013/01/26   16318.884053   -91.33     1.11   1.137    53004
  rj165.93   2013/01/26   16318.884840   -91.06     1.06   1.144    54131
  rj165.94   2013/01/26   16318.885592   -91.50     1.02   1.163    55638
 rj166.521   2013/02/04   16327.836985    52.15     1.05   1.104    50910
 rj166.522   2013/02/04   16327.837760    51.18     1.06   1.107    50706
 rj166.523   2013/02/04   16327.838524    49.75     1.04   1.096    51713
  rj167.86   2013/02/20   16343.758309     3.78     0.99   1.116    50509
  rj167.87   2013/02/20   16343.759027     1.14     0.98   1.115    53191
  rj167.88   2013/02/20   16343.759756     1.38     0.93   1.111    52154
  rj169.75   2013/06/03   16446.736136     6.69     0.94   1.119    48787
  rj169.76   2013/06/03   16446.737420     5.37     0.93   1.123    48983
  rj169.77   2013/06/03   16446.738751     5.62     0.90   1.126    47692
 rj182.490   2013/10/20   16586.155300   -64.43     1.09   1.164    49246
 rj182.491   2013/10/20   16586.156029   -65.27     1.06   1.155    49934
 rj182.492   2013/10/20   16586.156723   -68.15     1.01   1.172    49731
 rj183.236   2013/10/22   16588.155609    -4.57     0.96   1.201    49784
 rj183.237   2013/10/22   16588.156362    -4.69     1.02   1.169    51970
 rj183.238   2013/10/22   16588.157068    -3.41     1.05   1.173    49880
 rj183.470   2013/10/23   16589.106014    17.84     1.02   1.195    51634
 rj183.471   2013/10/23   16589.106721    15.52     1.06   1.169    50758
 rj183.472   2013/10/23   16589.107438    16.29     1.09   1.181    49937
 rj184.474   2013/11/18   16615.075748   -81.32     1.00   1.116    38407
 rj184.475   2013/11/18   16615.082450   -77.71     1.01   1.148    48553
 rj184.476   2013/11/18   16615.085124   -79.81     0.95   1.131    49229
 rj185.374   2013/12/11   16637.951841    -3.08     1.03   1.116    49979
 rj185.375   2013/12/11   16637.952570    -0.74     1.07   1.111    50047
 rj185.376   2013/12/11   16637.953323    -0.11     1.02   1.116    52278
 rj186.197   2014/01/17   16674.871717   -24.80     1.12   1.116    51866
 rj186.198   2014/01/17   16674.872481   -24.52     1.16   1.107    50616
 rj186.199   2014/01/17   16674.873268   -26.39     1.25   1.116    50305
 rj187.134   2014/02/20   16708.859230    39.12     0.99   1.102    49821
 rj187.135   2014/02/20   16708.860028    35.59     1.05   1.099    49733
 rj187.136   2014/02/20   16708.860873    37.36     1.04   1.098    50234
 rj187.393   2014/02/21   16709.847501    10.76     0.98   1.114    49583
 rj187.394   2014/02/21   16709.848299     7.50     0.88   1.130    51758
 rj187.395   2014/02/21   16709.849040     9.77     0.85   1.159    52582
  rj188.63   2014/06/18   16826.730309    17.61     1.00   1.117    50119
  rj188.64   2014/06/18   16826.731026    18.05     1.09   1.112    50348
  rj188.65   2014/06/18   16826.731744    16.79     0.95   1.122    51605
 rj188.225   2014/06/19   16827.731831   -17.19     1.04   1.120    49324
 rj188.226   2014/06/19   16827.732560   -15.40     0.94   1.097    48431
 rj188.227   2014/06/19   16827.733290   -20.51     1.05   1.095    48425
 rj188.489   2014/06/20   16828.731318   -35.74     1.06   1.110    50212
 rj188.490   2014/06/20   16828.732105   -35.40     1.02   1.106    50730
 rj188.491   2014/06/20   16828.732892   -33.25     1.01   1.107    50312
 rj188.668   2014/06/21   16829.738885   -74.93     1.07   1.097    49890
 rj188.669   2014/06/21   16829.739683   -74.64     1.03   1.085    49016
 rj188.670   2014/06/21   16829.740540   -79.60     1.09   1.157    48464
  rj200.65   2015/06/06   17179.737688   -30.35     0.94   1.105    49517
  rj200.66   2015/06/06   17179.738383   -27.55     0.92   1.090    48389
  rj200.67   2015/06/06   17179.739077   -27.00     0.96   1.087    49848
 rj201.369   2015/06/26   17199.741868  -115.59     0.93   1.082    50094
 rj201.370   2015/06/26   17199.742667  -116.47     1.07   1.076    49274
 rj201.371   2015/06/26   17199.743454  -116.22     1.12   1.080    48552
 rj216.150   2015/10/31   17327.158907   -68.25     0.95   1.153    53919
 rj216.151   2015/10/31   17327.159555   -67.94     0.91   1.166    54754
 rj216.152   2015/10/31   17327.160203   -69.44     0.97   1.158    50200
 rj218.640   2015/11/29   17356.171758   -46.34     0.94   1.152    55006
 rj219.262   2015/12/23   17379.925915    -7.35     1.00   1.133    57076
 rj219.263   2015/12/23   17379.926691   -10.85     1.00   1.121    57634
 rj219.264   2015/12/23   17379.927443    -9.96     1.08   1.121    56625
 rj220.121   2015/12/28   17384.960662   -29.62     1.03   1.112    56246
 rj220.122   2015/12/28   17384.962387   -28.50     1.02   1.112    57592
 rj220.123   2015/12/28   17384.964516   -27.75     1.07   1.127    57355
  rj229.67   2016/06/16   17555.735428    10.33     1.00   1.103    51052
  rj229.68   2016/06/16   17555.736192     9.89     1.05   1.113    52111
  rj229.69   2016/06/16   17555.736910    10.88     1.06   1.106    49500
 rj246.558   2016/11/21   17714.164399   -89.29     1.76   1.045     9195
rj246.1139   2016/11/24   17717.158767    -3.79     0.97   1.122    49421
 rj249.285   2017/01/11   17764.902240   -10.76     0.95   1.131    49940
 rj249.286   2017/01/11   17764.903270    -9.71     0.96   1.116    49303
 rj249.287   2017/01/11   17764.904277   -10.47     0.98   1.127    49159
